	coverage	Sample	totalbp	genome_number	ags	acn
145	1327.42	8455	5521375287	897.96064228515	6.14879430901234	1.47826078058605
146	1690.27	8457	6239429250	1038.22702757487	6.00969641926417	1.62803505891019
147	2501.35	8459	8957390583	1409.56712478289	6.35471019826719	1.77455188619362
148	1809.64	8461	5086050801	842.995825652543	6.03330484710646	2.14667729653252
149	789.811	9430	4348612524	631.626870927673	6.88478075293595	1.25043920129617
150	801.731	9434	4857774481	660.391689662663	7.35589886584039	1.21402345388316
151	811.468	9436	4656702279	688.180615715893	6.76668620512622	1.17914974858142
152	887.945	9438	5477503340	724.618719989063	7.55915240511959	1.22539616422469
153	528.68	9440	3539379204	456.549992009395	7.75244609779156	1.15798928759837
154	856.72	9442	5410823876	719.152721621787	7.52388708729053	1.19129077071137
155	598.438	9444	3805395084	464.756144796229	8.18793925934742	1.28763870408294
156	819.735	9446	5083829647	676.763552973327	7.5119731620659	1.21125760451865
157	713.464	9448	4794687553	607.638930326257	7.89068526341065	1.17415781707226
158	583.508	9450	4016692073	484.105888722557	8.29713533045243	1.20533134091746
159	557.02	9452	3648916700	450.815683792148	8.094032286779	1.23558256739093
160	649.947	9456	4299022000	565.175547159387	7.60652512587849	1.1499913668712
161	576.61	9458	3574258966	458.595132804302	7.79393131397505	1.2573399906668
162	587.571	9460	3870544346	485.97181069828	7.96454498140235	1.20906395610835
163	785.182	9462	4614383220	619.865260374702	7.44417136267751	1.26669786192787
164	930.622	9464	5583983991	761.580792550392	7.33209666738086	1.22196096475007
165	961.853	9466	5209272496	751.147116961661	6.93508951624703	1.28051213707726
166	745.448	9468	4664056949	619.277568030993	7.5314482386783	1.20373809497116
167	784.964	9484	4415804925	623.829952116235	7.07853944816235	1.25829803031603
168	792.791	9486	4409823118	613.452220376582	7.18853558846511	1.29234351701152
169	1016.47	9488	5458687225	861.937017777476	6.33304651316096	1.17928570073599
170	1095.22	9490	5113374062	833.329248136752	6.13607895490652	1.31427044286374
171	969.942	9492	4779277885	742.569775530013	6.43613306451743	1.30619644370483
172	932.372	9494	4932630644	752.000541634596	6.55934453621286	1.23985548996193
173	1164.59	9496	4967202046	818.541911481581	6.06835395515575	1.42276160043175
174	877.737	9498	4623188706	691.242303424887	6.68823172872025	1.26979641675732
175	1039.94	9500	5020953646	767.714123682059	6.54013452549087	1.35459276821991
176	1001.45	9502	4599764465	728.980112178634	6.30986276326952	1.3737686162755
177	1104.48	9504	6202528632	909.5621583669	6.81924657368828	1.21429853896195
178	1426.72	9506	5740616208	957.961277346632	5.99253471278129	1.4893295102196
179	1411.01	9508	5843246230	982.907369366272	5.94485951790902	1.43554727940411
180	1263.68	9510	5348773708	887.657846342371	6.02571557277371	1.42361159224474
181	1336.78	9512	5289906729	892.955505124435	5.92404290991279	1.49702867872875
182	1399.79	9514	4935566260	895.177303131112	5.5135069250936	1.56370139759339
183	1122.18	9522	4680317157	833.095510559007	5.61798388981775	1.34700041685139
184	1494.65	9524	5315538884	965.147933115559	5.50748616001394	1.54862270198847
185	1276.17	9526	4780258989	887.604205936755	5.38557496351095	1.43776921229566
186	1201.04	9528	5015101095	911.964408590102	5.49922896964077	1.31698122063427
187	1244.34	9530	4659677301	855.54047118612	5.4464720932954	1.45444902013209
188	630.754	9586	4401994156	588.154444872934	7.4844187515254	1.07242919865422
189	755.26	9588	4658512018	654.219437083769	7.12071784165517	1.15444445271548
